"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 26, 2019","9,842.5","9,888.0","9,899.0","9,672.0","5.12K","-0.48%"
"Jul 25, 2019","9,890.1","9,772.0","10,180.0","9,735.0","9.22K","1.22%"
"Jul 24, 2019","9,771.0","9,859.0","9,917.7","9,541.9","11.57K","-0.85%"
"Jul 23, 2019","9,854.9","10,330.0","10,330.0","9,824.5","9.77K","-4.59%"
"Jul 22, 2019","10,329.0","10,572.0","10,667.0","10,094.0","10.90K","-2.27%"
"Jul 21, 2019","10,569.4","10,741.0","10,811.0","10,300.0","8.25K","-1.59%"
"Jul 20, 2019","10,740.0","10,517.6","11,085.0","10,402.0","12.13K","2.10%"
"Jul 19, 2019","10,519.0","10,624.0","10,759.0","10,132.7","13.16K","-0.97%"
"Jul 18, 2019","10,622.0","9,691.2","10,750.0","9,271.6","28.83K","9.70%"
"Jul 17, 2019","9,683.2","9,418.4","9,963.1","9,090.0","23.12K","2.90%"
"Jul 16, 2019","9,410.0","10,813.0","10,991.0","9,378.0","26.18K","-13.03%"
"Jul 15, 2019","10,820.0","10,193.0","11,043.0","9,920.6","21.44K","6.01%"
"Jul 14, 2019","10,206.8","11,324.0","11,390.0","10,125.0","22.49K","-9.77%"
"Jul 13, 2019","11,312.0","11,779.0","11,803.0","10,806.0","14.72K","-3.85%"
"Jul 12, 2019","11,765.0","11,327.0","11,900.0","11,100.0","12.25K","3.75%"
"Jul 11, 2019","11,340.0","12,092.0","12,092.0","11,006.0","21.60K","-6.23%"
"Jul 10, 2019","12,093.0","12,564.0","13,173.0","11,572.0","36.06K","-3.66%"
"Jul 09, 2019","12,553.0","12,301.5","12,811.0","12,173.0","19.16K","2.05%"
"Jul 08, 2019","12,301.0","11,484.0","12,382.0","11,339.0","17.84K","7.10%"
"Jul 07, 2019","11,486.0","11,276.0","11,618.0","11,121.6","8.42K","1.80%"
"Jul 06, 2019","11,283.0","10,983.0","11,720.0","10,983.0","12.21K","2.59%"
"Jul 05, 2019","10,998.0","11,141.0","11,440.0","10,802.0","16.37K","-1.53%"
"Jul 04, 2019","11,169.0","12,000.0","12,063.5","11,057.0","19.84K","-6.80%"
"Jul 03, 2019","11,984.0","10,903.0","12,004.0","10,903.0","28.09K","10.29%"
"Jul 02, 2019","10,866.0","10,639.8","10,961.0","9,745.1","28.78K","2.13%"
"Jul 01, 2019","10,639.0","10,777.0","11,221.0","10,099.0","24.90K","-0.99%"
"Jun 30, 2019","10,745.0","11,973.0","12,229.0","10,705.0","19.07K","-9.86%"
"Jun 29, 2019","11,921.0","12,350.7","12,350.7","11,375.0","20.39K","-3.47%"
"Jun 28, 2019","12,349.0","11,183.0","12,404.0","10,812.0","31.98K","10.26%"
"Jun 27, 2019","11,200.0","12,876.0","13,222.0","10,397.0","47.61K","-13.02%"
"Jun 26, 2019","12,876.0","11,746.0","13,764.0","11,693.0","55.59K","9.57%"
"Jun 25, 2019","11,751.0","11,070.0","11,780.0","10,992.4","21.85K","6.32%"
"Jun 24, 2019","11,053.0","10,913.0","11,135.0","10,560.0","14.40K","1.26%"
"Jun 23, 2019","10,916.0","10,745.0","11,368.0","10,576.0","18.59K","1.56%"
"Jun 22, 2019","10,747.9","10,227.0","11,210.0","10,098.2","36.68K","5.00%"
